,Biden_2020,Total_2020,Other_2020,Perc_Other_2020,Perc_Biden_2020,age_over_18_2019,age_over_65_2019,asian_2019,avg_family_size_2019,bachelors_2019,black_2019,hispanic_2019,households_speak_limited_english_2019,hs_grad_2019,median_age_2019,native_2019,other_single_race_2019,pac_isl_2019,per_capita_income_2019,pop_2019,two_plus_races_2019,unemployment_rate_2019,uninsured_2019,veterans_2019,white_2019,white_not_hispanic_2019,Winner_2020
0,7503,27770,429,0.015448325531148832,0.2701836514223982,76.2,15.0,1.0,3.09,26.6,19.0,2.8,0.7,88.5,38.2,0.3,0.7,0.0,29819,55380,2.2,3.5,7.1,12.6,76.8,74.6,Trump
1,24578,109679,1557,0.014195971881581726,0.22409029987509,78.3,20.0,0.9,3.24,31.9,9.3,4.6,1.2,90.8,43.0,0.8,1.1,0.0,32626,212830,1.7,4.0,8.9,11.8,86.2,83.1,Trump
2,4816,10518,80,0.007606008746910087,0.4578817265639855,79.1,18.6,0.5,3.01,11.6,47.6,4.4,1.6,73.2,40.4,0.3,3.6,0.0,18473,25361,1.2,9.4,11.3,6.6,46.8,45.8,Trump
3,1986,9595,84,0.008754559666493078,0.2069828035435122,79.4,15.9,0.1,3.74,10.4,22.3,2.6,0.6,79.1,40.9,0.1,0.0,0.0,20778,22493,0.6,7.0,10.7,8.0,76.8,74.5,Trump
4,2640,27588,237,0.008590691605045775,0.0956937799043062,76.8,17.9,0.4,3.33,13.1,1.6,9.3,1.8,80.5,40.7,0.1,0.9,0.0,24747,57681,1.6,3.1,10.8,7.7,95.5,86.9,Trump
5,3446,4613,21,0.0045523520485584446,0.7470192933015392,79.2,16.0,0.5,3.3,12.1,74.8,2.6,1.4,74.7,40.2,0.0,2.0,0.0,20877,10248,0.8,4.1,11.4,3.3,21.9,21.4,Biden
6,3965,9488,65,0.006850758853288341,0.4178962900505902,77.5,19.7,0.3,3.78,16.1,45.4,1.4,0.3,85.0,40.8,0.1,0.2,0.0,21038,19828,2.1,7.0,8.7,6.6,51.8,51.6,Trump
7,15216,50983,666,0.013063177922052582,0.2984524253182433,78.2,17.2,0.9,3.03,18.5,20.8,3.8,0.9,84.4,39.6,0.3,1.9,0.0,25345,114618,2.4,7.2,9.5,10.8,73.7,72.1,Trump
8,6365,15284,166,0.010861031143679756,0.4164485736718136,79.0,19.2,1.1,3.1,13.3,39.6,2.4,0.9,81.6,42.0,0.3,0.3,0.0,22729,33660,1.0,4.0,10.3,7.9,57.7,55.5,Trump
9,1624,12301,94,0.007641655149987825,0.1320217868465978,79.8,22.4,0.2,2.94,12.8,4.6,1.6,1.1,81.6,46.5,1.1,0.4,0.0,24301,25903,0.9,4.4,8.6,9.1,92.9,91.7,Trump
10,3073,19310,152,0.007871569135163181,0.1591403417918177,75.9,16.0,0.4,3.06,12.7,9.2,7.8,1.5,81.8,38.7,0.8,3.5,0.0,24658,44055,2.5,6.5,13.0,7.6,83.6,80.1,Trump
11,3127,7464,41,0.005493033226152244,0.4189442658092175,79.9,22.6,0.1,3.07,11.9,42.6,0.4,0.0,81.4,46.3,0.1,0.1,0.0,22308,12925,0.4,8.7,10.3,8.6,56.8,56.4,Trump
12,5755,13135,56,0.0042634183479254295,0.4381423677198325,78.1,19.4,0.4,3.46,12.2,45.8,0.3,0.1,80.6,42.5,0.1,0.0,0.0,22225,24128,0.7,11.6,9.7,6.2,53.0,52.7,Trump
13,1267,6930,62,0.008946608946609036,0.1828282828282828,79.2,20.2,0.2,3.04,10.6,15.6,3.1,0.1,76.7,43.3,0.3,0.1,0.0,23519,13337,0.7,5.6,10.3,6.0,83.2,80.4,Trump
14,675,7227,68,0.009409160094091651,0.0933997509339975,77.3,19.4,0.0,3.21,15.4,2.7,2.5,0.2,79.0,43.1,0.1,1.3,0.0,23142,14916,2.0,5.4,12.3,6.1,93.9,92.7,Trump
